Target protein	Relation	Molecular #0	Molecular score #0	Relation	score	DEG	Weight	MF	MF_score	Weight	BP	BP_score	Weight	PH	Score
ERBB2#P	Undirected Signaling	OSMR#P	3.53552647197737e-07	Undirected Signaling	3.53552647197737e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	-0.08845459393266025
ERBB2#P	Undirected Signaling	OSMR#P	3.53552647197737e-07	Undirected Signaling	3.53552647197737e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	-0.011851329294843727
ERBB2#P	Undirected Signaling	IL6ST#P	8.76828638906813e-07	Undirected Signaling	8.76828638906813e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	-0.08845459393266025
ERBB2#P	Undirected Signaling	IL6ST#P	8.76828638906813e-07	Undirected Signaling	8.76828638906813e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	-0.011851329294843727
ERBB2#P	Undirected Signaling	IL4R#P	1.2995008882498e-06	Undirected Signaling	1.2995008882498e-06	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	-0.08845459393266025
ERBB2#P	Undirected Signaling	IL4R#P	1.2995008882498e-06	Undirected Signaling	1.2995008882498e-06	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	-0.011851329294843727
ERBB2#P	Undirected Signaling	ERBB3#P	1.45184879838313e-07	Undirected Signaling	1.45184879838313e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	-0.08845459393266025
ERBB2#P	Undirected Signaling	ERBB3#P	1.45184879838313e-07	Undirected Signaling	1.45184879838313e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	-0.011851329294843727
ERBB2#P	Undirected Signaling	IL13RA2#P	1.22211930817964e-06	Undirected Signaling	1.22211930817964e-06	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	-0.08845459393266025
ERBB2#P	Undirected Signaling	IL13RA2#P	1.22211930817964e-06	Undirected Signaling	1.22211930817964e-06	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	-0.011851329294843727
ERBB2#P	Undirected Signaling	CLTC#P	8.31927303749143e-07	Undirected Signaling	8.31927303749143e-07	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
ERBB2#P	Undirected Signaling	CLTC#P	8.31927303749143e-07	Undirected Signaling	8.31927303749143e-07	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
ERBB2#P	Undirected Signaling	HSP90AA1#P	0.00028569087460602	Undirected Signaling	0.00028569087460602	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
ERBB2#P	Undirected Signaling	HSP90AA1#P	0.00028569087460602	Undirected Signaling	0.00028569087460602	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
ERBB2#P	Undirected Signaling	EGFR#P	4.89195536378542e-07	Undirected Signaling	4.89195536378542e-07	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
ERBB2#P	Undirected Signaling	EGFR#P	4.89195536378542e-07	Undirected Signaling	4.89195536378542e-07	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
ERBB2#P	Undirected Signaling	NXF1#P	1.99162371909135e-06	Undirected Signaling	1.99162371909135e-06	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
ERBB2#P	Undirected Signaling	NXF1#P	1.99162371909135e-06	Undirected Signaling	1.99162371909135e-06	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
ERBB2#P	Undirected Signaling	CRK#P	1.05118275462895e-05	Undirected Signaling	1.05118275462895e-05	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
ERBB2#P	Undirected Signaling	CRK#P	1.05118275462895e-05	Undirected Signaling	1.05118275462895e-05	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
ERBB2#P	Undirected Signaling	XPO1#P	0.000278713482121118	Undirected Signaling	0.000278713482121118	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
ERBB2#P	Undirected Signaling	XPO1#P	0.000278713482121118	Undirected Signaling	0.000278713482121118	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
ERBB2#P	Undirected Signaling	ITGB1#P	2.14413380145641e-06	Directed Signaling	2.14413380145641e-06	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
ERBB2#P	Undirected Signaling	ITGB1#P	2.14413380145641e-06	Directed Signaling	2.14413380145641e-06	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
ERBB2#P	Undirected Signaling	CCDC88A#P	3.97170336049102e-07	Undirected Signaling	3.97170336049102e-07	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
ERBB2#P	Undirected Signaling	CCDC88A#P	3.97170336049102e-07	Undirected Signaling	3.97170336049102e-07	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
ERBB2#P	Undirected Signaling	VAPB#P	1.46217380554543e-06	Undirected Signaling	1.46217380554543e-06	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
ERBB2#P	Undirected Signaling	VAPB#P	1.46217380554543e-06	Undirected Signaling	1.46217380554543e-06	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
