DCID	Label	Drugs	Target
DC000386	N	aldesleukin|il-27	IL2RB|SLC6A4|IL2RA|OPRK1|IL2RG|SLC6A2|OPRM1
DC000387	N	tretinoin|trichostatin a	RARG|RARRES1|RXRB|ALDH1A1|RXRG|ALDH1A2|GPRC5A|NR0B1
DC000389	N	sevoflurane|propofol	GABRB3|GRIA1|GABRA1|ATP2C1|SCN4A|GABRB2|KCNA1|GLRA1|SCN2A
DC000392	N	dexmedetomidine|cp55940	ADRA2A|GRIN1
DC000393	N	morphine|cp55940	OPRK1|OPRM1|OPRD1|GRIN1
DC000394	N	diazoxide|nitroprusside	KCNJ11|KCNMA1|CA1|CA2|ATP1A1|SLC12A3|NPR1
DC000395	N	diazoxide|dibutyryl-cgmp	KCNJ11|KCNMA1|CA1|CA2|ATP1A1|SLC12A3
DC000396	N	lopinavir|ritonavir|rifampin	NR1I2
DC000397	N	ribavirin|abacavir|peginterferon alfa-2a	ADK|ENPP1|NT5C2|IFNAR1|IMPDH1|IFNAR2
DC000398	N	ribavirin|peginterferon alfa-2b	ADK|ENPP1|NT5C2|IFNAR1|IMPDH1|IFNAR2
DC000399	N	ribavirin|peginterferon alfa-2a	ADK|ENPP1|NT5C2|IFNAR1|IMPDH1|IFNAR2
DC000400	N	ritonavir|rifampin|saquinavir	NR1I2
DC000401	N	lonafarnib|paclitaxel	MAP4|MAP2|BCL2|NR1I2|MAPT|TUBB1
DC000402	N	phenytoin|valproic acid	SCN1A|HDAC9|ACADSB|SCN5A|ALDH5A1|OGDH|ABAT
DC000403	N	efavirenz|isoniazid|rifampin|pyrazinamide|abacavir|zidovudine	TERT|NR1I2
DC000404	N	tubacin|paclitaxel	MAP4|MAP2|BCL2|IFNAR1|NR1I2|MAPT|TUBB1|IFNAR2
DC000405	N	valproic acid|ethosuximide	CACNA1G|HDAC9|ACADSB|ALDH5A1|OGDH|ABAT
DC000406	N	isoniazid|ethambutol|pyrazinamide|rifampin	NR1I2
DC000407	N	17-dmag|arsenic trioxide	MAPK3|HSP90AA1|IKBKB|MAPK1|TXNRD1|CCND1|AKT1|JUN
DC000408	N	mitomycin|doxorubicin	TOP2A
DC000409	N	lamivudine|rifampin|stavudine|nevirapine	NR1I2
DC000410	N	cytarabine|aplidine	POLB
DC000411	N	clonidine|dexmedetomidine	ADRA2B|ADRA2C|ADRA2A
DC000413	N	etoposide|abt-737	TOP2B|TOP2A
DC000414	N	efavirenz|lamivudine|didanosine|rifampin	NR1I2|PNP
DC000415	N	paclitaxel|trichostatin a	MAP4|MAP2|BCL2|NR1I2|MAPT|TUBB1
DC000416	N	tramadol|dexketoprofen	HTR2C|GRIN3A|HPRT1|SLC6A4|CHRM3|OPRK1|IMPDH1|OPRD1|SLC6A2|OPRM1|CHRFAM7A
DC000417	N	isoniazid|rifampin|ritonavir|didanosine|lamivudine|saquinavir	NR1I2|PNP
DC000419	P	bortezomib|trastuzumab	C1QA|PSMB5|EGFR|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|PSMB1|C1S|PSMB2|FCGR3B|ERBB2|PSMD2|PSMD1|FCGR3A|FCGR1A
DC000420	N	triclosan|ec107fabi	AKT1|DECR1
DC000421	N	celecoxib|emodin	PTGS2|PDPK1|TOP1
DC000422	N	imatinib|vorinostat	HDAC8|ABL1|HDAC6|HDAC2|PDGFRA|RET|DDR1|NTRK1|CSF1R|HDAC3|PDGFRB|KIT|HDAC1
DC000226	N	trimethoprim|gemifloxacin|sulfamethoxazole	DHFR|TYMS
DC000227	N	epirubicin|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|TOP2A|C1QC|C1QB|C1S|CHD1|FCGR3B|ERBB2|EGFR|FCGR3A|FCGR1A
DC000228	N	carboplatin|rosiglitazone	ACSL4|PPARG
DC000229	N	doxorubicin|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|TOP2A|C1QC|C1QB|C1S|FCGR3B|ERBB2|EGFR|FCGR3A|FCGR1A
DC000230	N	docetaxel|trifluridine	MAP4|MAP2|TYMS|BCL2|MAPT|TUBB1
DC000231	N	vinorelbine|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|TUBB|C1S|FCGR3B|ERBB2|EGFR|FCGR3A|FCGR1A
DC000232	N	ifosfamide|mesna	CA1|CACNA1G|SV2A
DC000233	N	cyclophosphamide|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|ERBB2|EGFR|FCGR3A|FCGR1A
DC000235	N	timolol|latanoprost	ADRB2|ADRB1|PTGFR
DC000236	N	carboplatin|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|ERBB2|EGFR|FCGR3A|FCGR1A
DC000237	N	trimethoprim|sulfamethoxazole	DHFR|TYMS
DC000238	N	timolol|brinzolamide	ADRB2|CA5A|ADRB1|CA4|CA1|CA2
DC000239	N	temozolomide|lomeguatrib	DHFR
DC000240	N	pyrimethamine|sulfadoxine	DHFR
DC000241	N	naphthoquine|artemisinin	ERBB2
DC000242	N	irinotecan|oxaliplatin	TOP1MT|TOP1
DC000243	N	midostaurin|rapamycin	FKBP1A|MTOR|FGF2
DC000245	N	phenylephrine|cyclopentolate	ADRA1B|CHRM1|ADRA1D|ADRA1A
DC000246	N	tanespimycin|arsenic trioxide	MAPK3|IKBKB|MAPK1|TXNRD1|CCND1|AKT1|JUN
DC000247	N	imatinib|rapamycin	ABL1|FKBP1A|RET|PDGFRA|MTOR|DDR1|NTRK1|CSF1R|PDGFRB|KIT|FGF2
DC000248	N	carboplatin|paclitaxel|cetuximab	C1QA|MAP4|MAP2|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|BCL2|NR1I2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC000249	N	cisplatin|topotecan	TOP1MT|TOP1
DC000250	N	docetaxel|capecitabine	MAP4|MAP2|TYMS|BCL2|MAPT|TUBB1
DC000251	N	fluorouracil|methotrexate|leucovorin	DHFR|TYMS
DC000252	N	acetaminophen|diclofenac	KCNQ2|PTGS1|PLA2G2A|ASIC1|SCN4A|ALOX5|KCNQ3|PTGS2
DC000253	N	valproic acid|meropenem	HDAC9|ACADSB|ALDH5A1|OGDH|ABAT
DC000255	N	dextromethorphan|promethazine	CALM1|HRH1|GRIN3A|SIGMAR1|DRD2|CHRM3|SLC6A4|ADRA1A|CHRM5|HTR2A|CHRM1|CHRM4|CHRNA2|CHRM2
DC000256	N	misoprostol|diclofenac	KCNQ2|PTGER3|PTGER2|PLA2G2A|PTGS1|PTGER4|ASIC1|SCN4A|ALOX5|KCNQ3|PTGS2
DC000257	N	dexbrompheniramine|pseudoephedrine	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2|HRH1
DC000258	N	dextromethorphan|guaifenesin	SIGMAR1|GRIN3A|CHRNA2|SLC6A4
DC000259	N	cytarabine|tanespimycin	POLB
DC000260	N	adalimumab|methotrexate	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|TNF|DHFR|FCGR3A|FCGR1A
DC000262	N	sodium butyrate|fenretinide	CASP1|CASP3|MMP9|IL1B|CYCS
DC000264	N	amitriptyline|perphenazine	ADRA2A|SLC6A4|CHRM3|CHRM1|CHRM4|CHRM2|CALM1|HTR1A|DRD2|CHRM5|HTR2A|KCNA1|KCND2|HRH1|NTRK1|KCNQ2|ADRA1A|OPRK1|OPRD1|SLC6A2|KCND3|NTRK2|DRD1|ADRA1D
DC000265	N	eucalyptol|zidovudine	TERT
DC000266	N	theophylline|aminophylline	HDAC2|ADORA1|PDE3A|ADORA2B|PDE4B|PDE4A|PDE5A|ADORA3|ADORA2A
DC000268	N	hpma copolymer|doxorubicin	TOP2A
DC000269	N	amoxicillin|clarithromycin|lansoprazole	ATP4A
DC000270	N	ciprofloxacin|gatifloxacin	TOP2A
DC000272	N	etoposide|tanespimycin	TOP2B|TOP2A
DC000273	N	bevacizumab|paclitaxel	C1QA|MAP2|MAP4|FCGR2A|FCGR2C|C1R|FCGR2B|C1QC|C1QB|FCGR3B|VEGFA|BCL2|NR1I2|MAPT|TUBB1|FCGR3A|FCGR1A
DC000274	N	perindopril|indapamide	ACE|KCNE1|KCNQ1
DC000275	N	gefitinib|irinotecan	TOP1MT|EGFR|TOP1
DC000276	N	probenecid|fexofenadine	SLC22A11|SLC22A6|SLC22A8|PANX1|HRH1
DC000277	N	cytarabine|clofarabine	POLB|RRM1|POLA1
DC000278	N	pemetrexed|erlotinib	ATIC|GART|TYMS|DHFR|NR1I2|EGFR
DC000279	N	gabapentin|morphine	ADORA1|CACNA1B|CACNA2D1|OPRK1|CACNA2D2|OPRD1|OPRM1
DC000280	N	artemisinin|methylene blue	DPP4
DC000281	N	fluorouracil|cetuximab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|TYMS|C1S|FCGR3B|EGFR|FCGR3A|FCGR1A
DC000282	N	artesunate|amodiaquine	HNMT
DC000283	N	pioglitazone|vildagliptin	DPP4|PPARG
DC000284	N	perindopril|amlodipine	CACNA1C|CACNA1D|CACNA2D3|ACE|CACNA1B|CA1|CACNA1S|CACNA2D1|CACNB2|CACNB1
DC000285	N	prednisolone|dipyridamole	PDE10A|ADA|PDE4A|PDE5A|NR3C1
DC000288	N	dexamethasone|lenalidomide	TNFSF11|NOS2|VEGFA|CDH5|NR3C1|ANXA1|NR0B1|CRBN|PTGS2
DC000289	N	nitrendipine|enalapril	CACNA1C|CACNA1H|CACNA1D|ACE|CACNG1|CACNA1S|CACNA2D1|CACNB2|CACNA2D2
DC000292	N	telmisartan|amlodipine	CACNA1C|CACNA1D|CACNA2D3|CACNB1|CACNA1B|CA1|CACNA1S|CACNA2D1|CACNB2|AGTR1|PPARG
DC000293	N	loratadine|montelukast	CYSLTR1|ALOX5|HRH1
DC000294	N	lercanidipine|enalapril	ACE|CACNG1
DC000295	N	bortezomib|vorinostat	PSMB5|HDAC8|HDAC6|HDAC2|PSMB1|PSMB2|HDAC1|PSMD2|PSMD1|HDAC3
DC000296	N	lonafarnib|bortezomib	PSMB5|PSMB1|PSMB2|PSMD2|PSMD1
DC000297	P	tamoxifen|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|ESR2|C1QC|C1QB|C1S|FCGR3B|ESR1|ERBB2|EGFR|FCGR3A|FCGR1A
DC000298	N	rapamycin|ci-1040	CDK1|FKBP1A|MTOR|CDK6|CDK4|CDK2|CDK8|FGF2
DC000300	N	antazoline|pheniramine	HRH1
DC000301	N	dipyridamole|aspirin	AKR1C1|PDE10A|ADA|PTGS1|PDE4A|PDE5A|PTGS2
DC000302	N	proguanil|atorvastatin	DPP4|AHR|HMGCR|DHFR
DC000303	N	diphenoxylate|atropine	CHRM3|CHRM5|CHRM1|OPRD1|CHRM4|OPRM1|CHRM2
DC000304	N	pralidoxime|atropine	CHRM3|BCHE|CHRM5|CHRM1|CHRM2|CHRM4|ACHE
DC000305	N	polymyxin b sulfate|neomycin|hydrocortisone|bacitracin	NR3C1|ANXA1|IDE|A2M
DC000306	N	trabectedin|doxorubicin	TOP2A
DC000307	N	carboplatin|bevacizumab|paclitaxel	C1QA|MAP4|MAP2|FCGR2A|FCGR2C|C1R|FCGR2B|C1QC|C1QB|FCGR3B|VEGFA|BCL2|NR1I2|MAPT|TUBB1|FCGR3A|FCGR1A
DC000308	N	gemfibrozil|cerivastatin	HMGCR|PPARA
DC000309	N	prednisone|rituximab|cyclophosphamide|vincristine|doxorubicin	C1QA|FCGR1A|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|TUBA4A|TOP2A|C1QC|C1QB|TUBB|C1S|FCGR3B|NR3C1|FCGR3A|HSD11B1
DC000310	N	fluorouracil|sorivudine	TYMS
DC000312	N	heparin|sodium caprate	SERPINC1|SELP|F10|TSPO|GABRA2|GABRA3
DC000314	N	rosuvastatin|cyclosporine	PPIA|HMGCR|CAMLG|PPP3R2
DC000316	N	scopadulciol acid|hsv thymidine kinase gene|ganciclovir	ADORA1|CACNA2D1|CACNA1B|BCAT1
DC000317	N	polymyxin b sulfate|bacitracin	IDE|A2M
DC000318	N	methamphetamine|chlorpheniramine	ADRA2B|SLC6A3|MAOB|SLC18A1|ADRA2C|ADRA2A|SLC18A2|SLC6A4|SLC6A2|MAOA|HRH1
DC000319	N	neomycin|polymyxin b sulfate|bacitracin	IDE|A2M
DC000322	N	delavirdine|nevirapine|zidovudine	TERT
DC000323	N	paclitaxel|vitamin b12cn	MAP4|MAP2|MTHFR|MMACHC|MUT|BCL2|MTRR|NR1I2|MAPT|MMAA|TUBB1|MTR
DC000324	P	pd98059|gefitinib	EGFR
DC000325	N	polymyxin b sulfate|trimethoprim|sulfamethoxazole	DHFR|TYMS
DC000326	N	midostaurin|dasatinib	LCK|ABL1|FYN|EPHA2|ABL2|SRC|YES1|PDGFRB|STAT5B|KIT
DC000328	N	cisplatin|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|ERBB2|EGFR|FCGR3A|FCGR1A
DC000329	N	minocycline|glatiramer acetate	CASP1|CASP3|MMP9|HLA-DRB1|VEGFA|ALOX5|CYCS|IL1B
DC000330	N	miconazole|polymyxin b sulfate	KCNN4|KCNN1|KCNMB4|KCNH6|KCNMB3|KCNMA1|NOS3|KCNH7|KCNMB1|KCNMB2|KCNH2|KCNN2|NOS2|KCNN3
DC000331	N	imatinib|l744832	ABL1|RET|PDGFRA|DDR1|CSF1R|PDGFRB|KIT|NTRK1
DC000332	N	genistein|sorafenib	NCOA2|TOP2A|BRAF|FGFR1|RAF1|FLT3|PTK2B|FLT4|ESR2|RET|KDR|NCOA1|ESR1|PDGFRB|FLT1|KIT
DC000321	N	laropiprant|niacin	NNMT|QPRT|HCAR3|HCAR2
DC000333	N	praziquantel|1,2,4-trioxolane|artemether	PTK2B
DC000334	N	taxane|gefitinib	EGFR|NFKB1
DC000335	N	capecitabine|oxaliplatin	TYMS
DC000336	N	praziquantel|tribendimidine|artesunate	FKBP1A
DC000337	N	paclitaxel|nu6140	MAP4|MAP2|BCL2|NR1I2|MAPT|TUBB1
DC000338	N	naltrexone|bupropion	SLC6A3|CHRNA3|SIGMAR1|OPRK1|SLC6A2|OPRD1|OPRM1
DC000339	N	glimepiride|metformin|rosiglitazone	KCNJ11|ABCC8|ACSL4|KCNJ1|PPARG|PRKAB1
DC000340	N	carboplatin|sorafenib	BRAF|FGFR1|RAF1|FLT3|FLT4|RET|KDR|PDGFRB|FLT1|KIT
DC000341	N	paclitaxel|cyclophosphamide	MAP4|MAP2|BCL2|NR1I2|MAPT|TUBB1
DC000342	N	sunitinib|bevacizumab	C1QA|FCGR1A|FCGR2B|FCGR2A|FCGR2C|C1R|FLT3|FLT4|C1QC|C1QB|PDGFRA|FCGR3B|VEGFA|KDR|CSF1R|PDGFRB|FLT1|FCGR3A|KIT
DC000343	N	formoterol|beclomethasone	NR3C1|ADRB2
DC000345	N	timolol|bimatoprost	ADRB2|PTGER1|PTGER3|ADRB1|AKR1C3|PTGFR
DC000347	N	dexamethasone|abt-737	NR3C1|ANXA1|NR0B1|NOS2
DC000438	N	tiagabine|gabapentin	ADORA1|CACNA1B|CACNA2D1|CACNA2D2|SLC6A1
DC000439	N	irbesartan|aliskiren	REN|AGTR1|JUN
DC000440	N	mizoribine|mycophenolate mofetil	IMPDH2|IMPDH1|TUBB1
DC000441	N	topiramate|lamotrigine	SCN1A|GRIK1|GABRA1|CA4|CA2|SCN2A
DC000442	N	ramipril|alagebrium	IMPDH2|ACE
DC000443	N	carbamazepine|topiramate	SCN1A|GRIK1|GABRA1|CA4|CA2|SCN5A
DC000444	N	aee788|everolimus	MTOR|ANPEP
DC000445	N	valproic acid|topiramate	SCN1A|GRIK1|GABRA1|CA4|CA2|HDAC9|ACADSB|ALDH5A1|OGDH|ABAT
DC000446	N	theophylline|diphenhydramine	HDAC2|ADORA1|PDE3A|ADORA2B|PDE4B|PDE4A|PDE5A|HRH1|ADORA2A
DC000447	N	topiramate|oxcarbazepine	SCN1A|GRIK1|GABRA1|CA4|CA2|SCN5A
DC000448	N	levetiracetam|topiramate	SCN1A|GRIK1|GABRA1|CACNA1B|SV2A|CA4|CA2
DC000449	P	decitabine|depsipeptide	DNMT1
DC000450	N	gefitinib|adarotene	EGFR
DC000451	N	fluorouracil|rpr-115135	TYMS
DC000452	N	carbamazepine|lamotrigine	SCN2A|SCN5A
DC000453	N	rifampin|fusidic acid	NR1I2
DC000455	N	tipifarnib|zoledronate	SLC6A3|FDPS|GGPS1
DC001080	N	exenatide|metformin	GLP1R|PRKAB1
DC001087	N	dexamethasone|anakinra	ANXA1|IL1R1|NR3C1|NOS2|NR0B1
DC001090	N	lopinavir|ritonavir|didanosine|zidovudine|nevirapine	TERT|PNP
DC001093	N	docetaxel|prednisone|dasatinib	MAP4|MAP2|HSD11B1|ABL1|LCK|FYN|EPHA2|ABL2|NR3C1|BCL2|SRC|YES1|PDGFRB|STAT5B|MAPT|TUBB1|KIT
DC001095	P	docetaxel|cyclophosphamide|capecitabine|bevacizumab|doxorubicin	C1QA|MAP4|MAP2|FCGR2A|FCGR2C|C1R|FCGR2B|TOP2A|C1QC|C1QB|TYMS|FCGR3B|VEGFA|BCL2|MAPT|TUBB1|FCGR3A|FCGR1A
DC001097	N	montelukast|salmeterol|fluticasone propionate	CYSLTR1|ADRB2|NR3C2|PLA2G4A|PGR|NR3C1|ALOX5
DC001100	N	mycophenolate acid|prednisone|tacrolimus	IMPDH2|FKBP1A|IMPDH1|NR3C1|HSD11B1
DC001130	N	prednisone|cyclosporine|mycophenolate mofetil	IMPDH2|PPIA|CAMLG|PPP3R2|IMPDH1|NR3C1|HSD11B1
DC001156	N	carboplatin|cisplatin|cetuximab|fluorouracil	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|TYMS|C1S|FCGR3B|EGFR|FCGR3A|FCGR1A
DC001170	N	bisoprolol|telmisartan	ADRB2|ADRB1|AGTR1|PPARG
DC001172	N	fluorouracil|bevacizumab|leucovorin|oxaliplatin	C1QA|FCGR2B|FCGR2A|FCGR2C|C1R|C1QC|C1QB|TYMS|FCGR3B|VEGFA|FCGR3A|FCGR1A
DC001178	N	fludarabine|ibritumomab tiuxetan|rituximab|cyclophosphamide	C1QA|FCGR1A|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|RRM1|DCK|FCGR3A|POLA1
DC001180	N	solifenacin|trospium chloride	CHRM3|CHRM5|CHRM1|CHRM4|CHRM2
DC001187	N	brinzolamide|latanoprost	CA5A|CA4|CA1|CA2|PTGFR
DC001201	N	busulfan|fludarabine|melphalan	POLA1|RRM1|DCK
DC001222	N	fentanyl|bupivacaine|epinephrine	ADRA2B|ADRB2|PTGER1|PAH|ADRB1|ADRA2A|ADRA1A|ADRA1B|OPRK1|ADRA1D|OPRD1|SCN10A|OPRM1
DC001228	N	fludarabine|rituximab|cyclophosphamide	C1QA|FCGR1A|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|RRM1|DCK|FCGR3A|POLA1
DC001236	N	arsenic trioxide|tretinoin	RARG|MAPK3|IKBKB|RARRES1|RXRB|MAPK1|ALDH1A1|RXRG|ALDH1A2|CCND1|GPRC5A|AKT1|TXNRD1|NR0B1|JUN
DC001240	N	solifenacin|tamsulosin	ADRA1A|CHRM3|ADRA1B|CHRM5|CHRM1|ADRA1D|CHRM4|CHRM2
DC001246	N	lamivudine|nevirapine|zidovudine	TERT
DC000456	N	benazepril|hydrochlorothiazide	KCNMA1|ACE|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000457	N	hydrochlorothiazide|aliskiren	KCNMA1|CA4|CA1|CA2|REN|SLC12A3|CA12|CA9
DC000458	N	atorvastatin|amlodipine	CACNA1C|DPP4|HMGCR|CACNA1D|CACNA2D3|CACNA1B|CA1|CACNA1S|CACNA2D1|AHR|CACNB2|CACNB1
DC000459	N	fosinopril|hydrochlorothiazide	KCNMA1|ACE|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000460	N	pseudoephedrine|guaifenesin	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2
DC000461	N	hydrocodone|homatropine methylbromide	CHRM3|CHRM5|CHRM1|OPRD1|CHRM4|OPRM1|CHRM2
DC000462	N	benazepril|amlodipine	CACNA1C|CACNA1D|CACNA2D3|ACE|CACNA1B|CA1|CACNA1S|CACNA2D1|CACNB2|CACNB1
DC000463	N	olmesartan|amlodipine	CACNA1C|CACNA1D|CACNA2D3|CACNA1B|CA1|CACNA1S|CACNA2D1|CACNB2|AGTR1|CACNB1
DC000464	N	amiloride|hydrochlorothiazide	PLAU|KCNMA1|SCNN1D|SCNN1A|AOC1|SCNN1B|ASIC2|SLC9A1|CA4|CA1|CA2|ASIC1|SLC12A3|CA12|SCNN1G|CA9
DC000465	N	nadolol|bendroflumethiazide	ADRB2|KCNMA1|ADRB1|CA4|CA1|CA2|SLC12A3
DC000466	N	cisplatin|irinotecan	TOP1MT|TOP1
DC000467	N	doxorubicin|2-methoxyestradiol	TOP2A
DC000469	N	paclitaxel|2-methoxyestradiol	MAP4|MAP2|BCL2|NR1I2|MAPT|TUBB1
DC000470	N	prednisolone|albendazole	TUBA1A|NR3C1|TUBB4B
DC000471	N	tacrolimus|everolimus	FKBP1A|MTOR
DC000473	N	norethindrone|letrozole	CYP19A1|PGR
DC000474	N	toremifene|paclitaxel	MAP4|MAP2|ESR1|BCL2|NR1I2|MAPT|TUBB1
DC000475	N	doxorubicin|zoledronate	FDPS|GGPS1|TOP2A
DC000476	N	lisinopril|hydrochlorothiazide	ACE2|KCNMA1|ACE|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000477	N	hydrochlorothiazide|losartan	KCNMA1|CA4|CA1|CA2|SLC12A3|CA12|AGTR1|CA9
DC000478	N	methyldopa|hydrochlorothiazide	KCNMA1|ADRA2A|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000479	N	metoprolol|hydrochlorothiazide	ADRB2|KCNMA1|ADRB1|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000480	N	valsartan|amlodipine	CACNA1C|CACNA1D|CACNA2D3|CACNA1B|CA1|CACNA1S|CACNA2D1|CACNB2|AGTR1|CACNB1
DC000481	N	isosorbide dinitrate|hydralazine	P4HA1|NPR1|AOC3
DC000482	N	hydrochlorothiazide|irbesartan	KCNMA1|CA4|CA1|CA2|SLC12A3|CA12|AGTR1|CA9|JUN
DC000483	N	hydrochlorothiazide|olmesartan	KCNMA1|CA4|CA1|CA2|SLC12A3|CA12|AGTR1|CA9
DC000484	N	propranolol|hydrochlorothiazide	HTR1A|ADRB2|ADRB3|KCNMA1|ADRB1|CA4|CA1|CA2|SLC12A3|CA12|HTR1B|CA9
DC000485	N	hydrochlorothiazide|quinapril	KCNMA1|ACE|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000486	N	triclosan|dispersinb	DECR1
DC000488	N	tigecycline|levofloxacin	TOP2A
DC000491	N	ngr-htnf|doxorubicin	CYP19A1|TOP2A
DC000492	N	amantadine|oseltamivir|ribavirin	ADK|NEU2|ENPP1|CES1|NT5C2|DRD2|IMPDH1|GRIN3A|NEU1
DC000493	N	ciprofloxacin|trimethoprim	TOP2A|DHFR|TYMS
DC000494	N	isoniazid|rifampin|linezolid	NR1I2
DC000495	N	propofol|remifentanil	GABRB3|OPRK1|SCN4A|OPRD1|OPRM1|GABRB2|SCN2A
DC000504	N	gentamicin|ampicillin	LRP2
DC000509	N	clindamycin|tazarotene|benzoyl peroxide	RXRB|RARA|RARB|RARG
DC000514	N	tetracycline|metronidazole|esomeprazole	ATP4A|PRNP
DC000519	N	clobetasol|ketoconazole	NR3C1
DC000522	N	capecitabine|irinotecan	TOP1MT|TYMS|TOP1
DC000531	N	lisdexamfetamine|escitalopram	SLC6A3|ADRA1A|SLC6A4|ADRA1B|CHRM1|SLC6A2|HRH1
