goserelin	LHCGR|GNRHR
methyclothiazide	SLC12A1
reboxetine	SLC6A2
milrinone	PDE3A
butabarbital	GABRA1
alclometasone	NR3C1
butalbital	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRA1
cladribine	RRM1|RRM2|RRM2B|POLA1|POLE|POLE2|POLE3|POLE4|PNP
ranolazine	SCN5A
mesalazine	PTGS2|PTGS1|ALOX5|PPARG
benzatropine	CHRM1|SLC6A3
ziprasidone	DRD2|HTR2A
methysergide	HTR2B|HTR2C|HTR2A|HTR1A|HTR7
cabergoline	DRD2
phenytoin	SCN5A|SCN1A
medrysone	NR3C1
diethylstilbestrol	ESR1|ESRRG|ESR2
clotrimazole	KCNN4
anagrelide	PDE3A
carmustine	GSR
metoprolol	ADRB1
dicoumarol	VKORC1
ropinirole	DRD3|DRD2
isradipine	CACNA1C|CACNA2D1|CACNB2|CACNA1H|CACNA2D2|CACNA1D|CACNA1S
betazole	HRH2
topiramate	GABRA1|SCN1A|GRIK1|CA2|CA4|GABRA1
olmesartan	AGTR1
amsacrine	TOP2A
theophylline	ADORA1|ADORA2A|ADORA2B|PDE4B|PDE5A|PDE4A|PDE3A|HDAC2
argatroban	F2
liothyronine	THRA|THRB
disopyramide	SCN5A
lidocaine	SCN10A|SCN9A|SCN5A
pamidronate	FDPS
clemastine	HRH1
acarbose	MGAM|AMY2A|GAA|SI
venlafaxine	SLC6A4|SLC6A2
conjugated estrogens	ESR1
travoprost	PTGFR
amcinonide	NR3C1
atomoxetine	SLC6A2
etomidate	GABRA1|ADRA2B|GABRA1
raltitrexed	TYMS
etonogestrel	PGR|ESR1
morphine	OPRM1|OPRK1|OPRD1
ropivacaine	SCN10A
bupivacaine	SCN10A
dapiprazole	ADRA1A|ADRA1D|ADRA1B
tranexamic acid	PLG
desogestrel	PGR|ESR1
talbutal	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRA1
bexarotene	RXRA|RXRB|RXRG
ibutilide	CACNA1C|CACNB1|KCNH2
vindesine	TUBB1
chlorthalidone	SLC12A1
pentobarbital	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRA1
valproic acid	HDAC9|ABAT
zolmitriptan	HTR1B|HTR1D|HTR1F|HTR1A
acetaminophen	PTGS2|PTGS1
gefitinib	EGFR
codeine	OPRM1|OPRK1|OPRD1
dihydroergotamine	HTR1D|HTR1B
amitriptyline	SLC6A2|SLC6A4|HTR2A
floxuridine	TYMS
tolcapone	COMT
fluorometholone	NR3C1
nitroprusside	NPR1
hydromorphone	OPRM1|OPRD1|OPRK1
indometacin	PTGS2|PLA2G2A
metformin	PRKAB1
ipratropium	CHRM1|CHRM2|CHRM3
methadone	OPRM1|GRIN3A|CHRNA10|OPRD1
olanzapine	HTR2A|DRD2
atenolol	ADRB1
pimecrolimus	MTOR
omeprazole	ATP4A
metixene	CHRM1|CHRM4|CHRM5
cetirizine	HRH1
terfenadine	HRH1
diltiazem	CACNG1
protriptyline	SLC6A2|SLC6A4
alfuzosin	ADRA1A|ADRA1B|ADRA1D
trimethadione	CACNA1G
nitisinone	HPD
clobazam	GABRA1
minoxidil	KCNJ1
megestrol acetate	PGR
methylergometrine	DRD1
buclizine	HRH1|CHRM1
chlorzoxazone	KCNMA1
aminoglutethimide	CYP19A1|CYP11A1
sapropterin	PAH|NOS3|TH|TPH1
vinorelbine	TUBB
clozapine	DRD2|HTR2A
sucralfate	FGF2|EGF
doxylamine	HRH1
levonorgestrel	PGR|SRD5A1|ESR1
norepinephrine	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3
mirtazapine	HTR2A|HTR3A|ADRA2A
meprobamate	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRA1
timolol	ADRB1|ADRB2
treprostinil	PTGIR|PPARD|P2RY12
trihexyphenidyl	CHRM1
palonosetron	HTR3A
dydrogesterone	PGR
mexiletine	SCN5A
dexrazoxane	TOP2A
amlodipine	CACNA1C|CACNA2D1|CACNB2|CACNA1D|CACNA1S
tacrine	ACHE|BCHE
oxyphencyclimine	CHRM3|CHRM1|CHRM2
triamterene	SCNN1G|SCNN1A|SCNN1B
valrubicin	TOP2A
procyclidine	CHRM1|CHRM2|CHRM4|CHRM3
phenylephrine	ADRA1A|ADRA1B|ADRA1D
carbimazole	TPO
digoxin	ATP1A1
sulpiride	DRD2
profenamine	CHRM1|GRIN3A
nimodipine	CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4
beclomethasone dipropionate	NR3C1
progesterone	PGR|ESR1|NR3C2
sorafenib	BRAF|RAF1|FLT4|KDR|FLT3|PDGFRB|KIT|FGFR1|RET|FLT1
zoledronic acid	FDPS|GGPS1
nisoldipine	CACNA1C|CACNA2D1|CACNB2|CACNA1D|CACNA1S
eszopiclone	GABRA1|TSPO|GABRA1
ceruletide	CCKAR
alprazolam	GABRA1
dexbrompheniramine	HRH1
ardeparin	SERPINC1|SERPIND1
loxapine	DRD2|HTR2A
remoxipride	DRD2
carbamoylcholine	CHRM1|CHRM2|CHRNA2
rosiglitazone	PPARG
pramipexole	DRD3|DRD2|DRD4
acetohexamide	KCNJ1
metocurine iodide	CHRNA2
secobarbital	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6
miglustat	UGCG
promazine	DRD2
spironolactone	NR3C2
methylphenidate	SLC6A3
hyoscyamine	CHRM1|CHRM2
zolpidem	GABRA1
triprolidine	HRH1
carboprost tromethamine	PTGER1
lindane	GABRB1
trifluridine	TYMS
prochlorperazine	DRD2
cyproheptadine	HRH1|HTR2A|HTR2C
nitric oxide	GUCY1A2
bendroflumethiazide	SLC12A3|KCNMA1
allopurinol	XDH
cerivastatin	HMGCR
trimethoprim	TYMS
gemcitabine	RRM1
betamethasone	NR3C1
teniposide	TOP2A
epirubicin	CHD1
lansoprazole	ATP4A
dipivefrin	ADRA1A|ADRA2A|ADRB2|BCHE
droperidol	DRD2|ADRA1A
levothyroxine	THRA|THRB
meperidine	OPRK1
loratadine	HRH1
prazosin	ADRA1A|ADRA1B|ADRA1D
imipramine	SLC6A2|SLC6A4
acitretin	RXRA|RARA|RARB|RARG|RXRB|RXRG
nabumetone	PTGS2
methscopolamine bromide	CHRM1|CHRM2
sodium tetradecyl sulfate	PROC|PROS1
ketorolac	PTGS2
tenoxicam	PTGS2
dronabinol	CNR1
montelukast	CYSLTR1
fluoxetine	SLC6A4
hexylcaine	SCN5A
methohexital	GABRA1
duloxetine	SLC6A4|SLC6A2
chlorpromazine	DRD2|DRD1|HTR1A|HTR2A|ADRA1A|ADRA1B|HRH1
lenalidomide	CRBN|TNFSF11
raloxifene	ESR1|ESR2
celecoxib	PTGS2
gallamine triethiodide	CHRM2|ACHE
brimonidine	ADRA2A|ADRA2B|ADRA2C
nabilone	CNR2|CNR1
sotalol	KCNH2|ADRB1|ADRB2
buspirone	HTR1A|DRD2
miglitol	MGAM|GAA|GANAB|GANC
fosinopril	ACE
entacapone	COMT
darifenacin	CHRM3
oxycodone	OPRM1|OPRK1|OPRD1
phenindione	VKORC1
flutamide	AR
tolmetin	PTGS2
cimetidine	HRH2
haloperidol	DRD2
levallorphan	OPRM1
triflupromazine	DRD1|DRD2|HTR2B|CHRM1|CHRM2
dextrothyroxine	THRA|THRB
acetyldigitoxin	ATP1A1
aminocaproic acid	PLG|PLAT
dextromethorphan	SIGMAR1|GRIN3A
anisotropine methylbromide	CHRM1|CHRM2|CHRM3
trandolapril	ACE
carteolol	ADRB2|ADRB1
alitretinoin	RARA|RXRA|RARB|RXRB|RARG|RXRG
metolazone	SLC12A3
cinchocaine	SCN10A|SCN5A
lercanidipine	CACNG1
erlotinib	EGFR|NR1I2
mephenytoin	SCN5A
rofecoxib	PTGS2
chlormerodrin	SLC12A1
toremifene	ESR1
nortriptyline	SLC6A2|SLC6A4|HTR2A
vincristine	TUBB
benazepril	ACE
amoxapine	SLC6A4
fluorouracil	TYMS
pyridostigmine	ACHE|BCHE
desoximetasone	NR3C1
azelaic acid	AKR1D1|SRD5A2|TYR
zafirlukast	CYSLTR1
propylthiouracil	TPO
pentostatin	ADA
piroxicam	PTGS2
lamotrigine	CACNA1E
hydroxyzine	HRH1
bosentan	EDNRA|EDNRB
doxapram	KCNK3|KCNK9
benzthiazide	SLC12A3
methotrexate	DHFR
carbamazepine	SCN5A
cisatracurium	CHRNA2
cinnarizine	HRH1|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA1G|CACNA1H|CACNA1I
fondaparinux	SERPINC1|F10
vinblastine	TUBA1A|TUBB|TUBD1|TUBG1|TUBE1
propranolol	ADRB1
atropine	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
fenoprofen	PTGS2
fenfluramine	SLC6A4|HTR2B|HTR2C
clonidine	ADRA2A|ADRA2B|ADRA2C
mazindol	SLC6A2|SLC6A3|SLC6A4
valdecoxib	PTGS2
enalapril	ACE
nizatidine	HRH2
diclofenac	PTGS2|PTGS1|ALOX5|SCN4A|ASIC1|KCNQ2|KCNQ3
fluticasone propionate	NR3C1
lisuride	DRD2|DRD3|DRD4|HTR2A|HTR2C
doxazosin	ADRA1A|ADRA1B|ADRA1D
fluocinolone acetonide	NR3C1|ANXA1|ANXA2|ANXA3|ANXA4|ANXA5
piperazine	GABRB3
ethosuximide	CACNA1G
amiloride	SCNN1A|SCNN1B|SCNN1G|SCNN1D
ulobetasol	NR3C1
labetalol	ADRB1|ADRB2|ADRA1A
thiopental	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6
ivermectin	GLRA3
medroxyprogesterone acetate	PGR|ESR1
cisapride	HTR4|HTR3A|HTR2A
sulindac	PTGS2
cyclothiazide	FXYD2
metaraminol	ADRA1A
butorphanol	OPRK1|OPRD1|OPRM1
bisoprolol	ADRB1
paramethadione	CACNA1I
imatinib	KIT
triamcinolone	NR3C1
oxandrolone	AR
nicardipine	CACNA1C|CACNB2|CACNA2D1|CACNA1D
fluphenazine	DRD2|DRD1
testosterone	AR
bacitracin	IDE
niacin	HCAR3|HCAR2|QPRT|NNMT
clorazepate	GABRA1
guanabenz	ADRA2A
alendronic acid	FDPS
clofarabine	POLA1|RRM1
dexmedetomidine	ADRA2A
prednisone	NR3C1
clofibrate	PPARA
astemizole	HRH1
adenosine	ADORA2A|ADORA2B|ADORA3|ADORA1
simvastatin	HMGCR
pemetrexed	TYMS|ATIC|DHFR|GART
mebendazole	TUBA1A|TUBB4B
gonadorelin	GNRHR
dyclonine	SCN10A
dextropropoxyphene	OPRM1|OPRD1|OPRK1
mitotane	CYP11B1
dyphylline	PDE4B|PDE4A|PDE4C|PDE4D|ADORA1|ADORA2A|PDE7A|PDE7B
pentazocine	OPRM1|OPRK1|SIGMAR1
latanoprost	PTGFR
estrone	ESR1
trazodone	HTR2A|HTR2C|SLC6A4|HTR1A
mecamylamine	CHRNA2
acamprosate	GABRA1|GRIN1|GRM5
verapamil	CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4
flumethasone	NR3C1
nilutamide	AR
nafarelin	GNRHR
epinephrine	ADRA1A|ADRA1B|ADRB1|ADRB2|ADRA2A|ADRA2B
sumatriptan	HTR1D|HTR1B|HTR1F|HTR1A
pirenzepine	CHRM1
chlorpropamide	ABCC8
aprepitant	TACR1
galantamine	ACHE
tamoxifen	ESR1|ESR2
isoflurophate	ACHE|BCHE
losartan	AGTR1
thioridazine	DRD2|DRD1|ADRA1A|ADRA1B|HTR2A
moricizine	SCN5A
warfarin	VKORC1
midazolam	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRB1|GABRB3|GABRB2|GABRA6|GABRG1|GABRG2|GABRG3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRQ
pentosan polysulfate	FGF2|FGF1
fludrocortisone	NR3C2
mycophenolate mofetil	IMPDH1|IMPDH2
flurazepam	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRG1|GABRG2|GABRG3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRQ
moexipril	ACE|ACE2
phentolamine	ADRA2A|ADRA1A
daunorubicin	TOP2A|TOP2B
furosemide	SLC12A1
ergotamine	HTR1D|HTR1B|HTR2A|ADRA1A|ADRA1B|ADRA1D
tizanidine	ADRA2B|ADRA2C
nicergoline	ADRA1A
eplerenone	NR3C2
methazolamide	CA1|CA2|CA4|CA7
naltrexone	OPRD1|OPRM1|OPRK1
tamsulosin	ADRA1A
sufentanil	OPRM1
ibandronate	FDPS
diethylcarbamazine	ALOX5
flurbiprofen	PTGS2
apomorphine	DRD3|DRD4|DRD2
paroxetine	SLC6A4
nedocromil	CYSLTR1|CYSLTR2
azatadine	HRH1
clodronic acid	SLC25A4|SLC25A5|SLC25A6
procaine	SCN10A|GRIN3A|HTR3A|SLC6A3
lisinopril	ACE
methoxamine	ADRA1A
imiquimod	TLR7
homatropine methylbromide	CHRM2|CHRM1|CHRM4|CHRM5|CHRM3
trimipramine	SLC6A4|SLC6A2
nitroglycerin	NPR1
rocuronium	CHRNA2|CHRM2
diphemanil methylsulfate	CHRM3
nateglinide	ABCC8
atracurium besylate	CHRNA2
pralidoxime	ACHE|BCHE
risperidone	HTR2A|DRD2
naftifine	SQLE
esomeprazole	ATP4A
meclizine	HRH1
riluzole	SCN5A|SLC7A11
hydrocortisone	NR3C1|ANXA1
zileuton	ALOX5
modafinil	SLC6A3
scopolamine	CHRM1
carbinoxamine	HRH1
etodolac	PTGS2
prilocaine	SCN5A
epinastine	HRH1|HRH2
tranylcypromine	MAOA|MAOB
isoflurane	GABRA1|ATP2C1|GLRA1|GRIA1|KCNA1|GABRA1
ethotoin	SCN5A
tretinoin	RXRB|RXRG|RARG
hexachlorophene	SDHD
dolasetron	HTR3A
clopidogrel	P2RY12
irinotecan	TOP1|TOP1MT
methimazole	TPO
mometasone	NR3C1
metyrosine	TH
olopatadine	HRH1
hydrocortamate	NR3C1
alprostadil	PTGER2|PTGER1
clidinium	CHRM1
malathion	BCHE
etoposide	TOP2A
hydroflumethiazide	SLC12A1
tirofiban	ITGA2B|ITGB3
oxcarbazepine	SCN5A
propiomazine	HRH1
phenelzine	MAOA|MAOB
propantheline	CHRM1
estradiol	ESR1|ESR2
mefenamic acid	PTGS2
naproxen	PTGS1|PTGS2
perindopril	ACE
tripelennamine	HRH1
primidone	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRA1
sulfasalazine	ALOX5|PTGS2|PTGS1|PPARG
candesartan cilexetil	AGTR1
tolazoline	ADRA1A
tazarotene	RARA|RXRB|RARG|RARB
fenoldopam	DRD5|DRD1
halazepam	GABRA1|GABRA2|GABRA3|GABRA5|GABRG1|GABRG2|GABRG3|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRA1
alfentanil	OPRM1
dicyclomine	CHRM1
minaprine	MAOA|HTR2B|HTR2A|HTR2C|ACHE
pentoxifylline	PDE4B|ADORA1|PDE5A|PDE4A|ADORA2A
proparacaine	SCN10A
indapamide	SLC12A3
tropicamide	CHRM4
biperiden	CHRNA2|CHRM1
ribavirin	IMPDH1
phenylbutazone	PTGS2|PTGIS|PTGS1
fentanyl	OPRM1|OPRD1
meloxicam	PTGS2
orciprenaline	ADRB2
propofol	GABRB2|GABRB3|GABRA1
acetazolamide	CA1|CA2|CA4|CA12|CA14|CA3|CA7
tadalafil	PDE5A
carprofen	PTGS2
disulfiram	ALDH2|DBH
ethynodiol diacetate	PGR|ESR1
enprofylline	PDE4A|PDE4B|ADORA2B
levomenthol	TRPM8|TRPA1|TRPV3|CACNA1C
diazepam	GABRA1|GABRA2|GABRA3|GABRA5|GABRB1|GABRB2|GABRB3|GABRG1|GABRG2|GABRG3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRQ|GABRA1
phenmetrazine	SLC6A2|SLC6A3
trifluoperazine	DRD2|CALY|ADRA1A
mifepristone	PGR|NR3C1
brompheniramine	HRH1
loperamide	OPRM1|OPRD1|OPRK1
clocortolone	NR3C1
tolazamide	ABCC8
dobutamine	ADRB1|ADRA1A
oxazepam	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRG1|GABRG2|GABRG3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRQ|GABRA1
donepezil	ACHE
nalbuphine	OPRK1|OPRM1|OPRD1
flurandrenolide	NR3C1
levamisole	CHRNA3
methylphenobarbital	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6
perphenazine	DRD2|DRD1
pseudoephedrine	SLC6A2|SLC6A3|ADRA1A|ADRA2A|SLC6A4
levorphanol	OPRM1
aminolevulinic acid	ALAD
terbinafine	SQLE
prednisolone	NR3C1
diflunisal	PTGS2
vardenafil	PDE5A
ranitidine	HRH2
tacrolimus	FKBP1A
benzphetamine	SLC18A2|ADRA2A|ADRA1A
ritodrine	ADRB2
dorzolamide	CA2
suprofen	PTGS1|PTGS2
terbutaline	ADRB2
conivaptan	AVPR1A|AVPR2
flupentixol	DRD2|HTR2A|DRD1|ADRA1A
eprosartan	AGTR1
sirolimus	MTOR|FKBP1A|FGF2
chlorothiazide	SLC12A3|CA1|CA2
quinapril	ACE
clomifene	ESR1
isosorbide dinitrate	NPR1
risedronate	FDPS
bumetanide	SLC12A1|SLC12A2|SLC12A4|SLC12A5
granisetron	HTR3A
dienestrol	ESR1
oxybuprocaine	SCN10A
testolactone	CYP19A1
benzylpenicilloyl polylysine	FCER1G|FCER1A
rimexolone	NR3C1
triazolam	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRG1|GABRG2|GABRG3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRQ|GABRA1
ethanol	GABRA1|GRIN3A|GLRA1|GLRA2
remifentanil	OPRM1
methdilazine	HRH1
etacrynic acid	ATP1A1|SLC12A1
ondansetron	HTR3A
bimatoprost	PTGFR|PTGER1|PTGER3
tiagabine	SLC6A1
cocaine	SLC6A3|SLC6A2|SLC6A4|SCN5A
quinidine	SCN5A
zonisamide	SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN9A|SCN11A|SCN1B|SCN2B|SCN3B|SCN4B|CACNA1G|CACNA1H|CACNA1I
paricalcitol	VDR
repaglinide	ABCC8
anileridine	OPRM1
phenformin	PRKAA1
amantadine	GRIN3A|DRD2
dinoprostone	PTGER2|PTGER1|PTGER3|PTGER4
ketotifen	HRH1
buprenorphine	OPRM1|OPRK1
levosimendan	TNNC1|KCNJ11|KCNJ8
cyclobenzaprine	HTR2A
phenoxybenzamine	ADRA1A|ADRA2A
famotidine	HRH2
azacitidine	DNMT1
misoprostol	PTGER3|PTGER2
mesoridazine	HTR2A|DRD2
maprotiline	SLC6A2
oxymetazoline	ADRA1A|ADRA2A
salicylic acid	PTGS1|PTGS2
diethylpropion	SLC6A2|SLC6A3
salmeterol	ADRB2
meclofenamic acid	PTGS1|PTGS2|ALOX5
methantheline	HRH2
hexafluronium	BCHE
cycrimine	CHRM1
demecarium	ACHE
acetylsalicylic acid	PTGS1|PTGS2
phenprocoumon	VKORC1
fulvestrant	ESR1
felbamate	GRIN2B|GRIN3A|GRIN2A
fexofenadine	HRH1
naratriptan	HTR1D|HTR1B|HTR1F|HTR1A
rizatriptan	HTR1D|HTR1B|HTR1F
hydrocodone	OPRM1|OPRD1
norgestimate	PGR|ESR1
methylprednisolone	NR3C1
pindolol	ADRB1|ADRB2
mepivacaine	SCN10A
zaleplon	GABRA1|TSPO
bromfenac	PTGS2
apraclonidine	ADRA2A|ADRA1A
telmisartan	AGTR1|PPARG
desloratadine	HRH1
methyldopa	ADRA2A
alosetron	HTR3A
azelastine	HRH1
ezetimibe	SOAT1|NPC1L1
dipyridamole	PDE10A|ADA|PDE5A|PDE4A
ethinylestradiol	ESR1
cyclopentolate	CHRM1
ramelteon	MTNR1A|MTNR1B
physostigmine	ACHE
formoterol	ADRB2
nandrolone phenpropionate	AR
dimenhydrinate	HRH1
glycopyrronium	CHRM1
cytarabine	POLB
dopamine	DRD2|DRD1|DRD5|DRD3|DRD4|SLC6A3|DBH
rivastigmine	ACHE|BCHE
exemestane	CYP19A1
oxaprozin	PTGS1|PTGS2
azathioprine	HPRT1
gabapentin	CACNA2D1|CACNA2D2|CACNA1B
doxorubicin	TOP2A
frovatriptan	HTR1D|HTR1B
hydrochlorothiazide	SLC12A3|KCNMA1
salbutamol	ADRB2
levobupivacaine	SCN10A
cromoglicic acid	KCNMA1
hydroxyurea	RRM1
letrozole	CYP19A1
ketoprofen	PTGS2
edrophonium	ACHE|BCHE
metyrapone	CYP11B1
cinacalcet	CASR
clobetasol propionate	NR3C1
balsalazide	PPARG|PTGS2|PTGS1|ALOX5
glyburide	ABCC8
guanfacine	ADRA2A
bethanechol	CHRM2
isosorbide mononitrate	GUCY1A2
trichlormethiazide	SLC12A3|ATP1A1
phylloquinone	GGCX
felodipine	CACNA1C|CACNA2D1|CACNB2|CACNA1D|CACNA1S
mycophenolic acid	IMPDH1|IMPDH2
methoxyflurane	GABRA1|GRIA1|GLRA1|KCNA1|GABRA1
irbesartan	AGTR1
topotecan	TOP1
ethinamate	CA1|CA2
probenecid	SLC22A6|SLC22A11|SLC22A8
mercaptopurine	HPRT1
tolterodine	CHRM3|CHRM2|CHRM5|CHRM1|CHRM4
selegiline	MAOB
fenofibrate	PPARA
thalidomide	CRBN|TNF|NFKB1|FGFR2
memantine	GRIN3A|GRIN2A|GRIN2B
lubiprostone	CLCN2
fluocinonide	NR3C1
ibuprofen	PTGS2|PTGS1
nitrendipine	CACNA1C|CACNA2D1|CACNB2|CACNG1|CACNA1D|CACNA1S
tocainide	SCN5A
echothiophate	BCHE
oxybutynin	CHRM3|CHRM2|CHRM1
acetophenazine	DRD2|DRD1
isoprenaline	ADRB1|ADRB2|ADRB3
melatonin	MTNR1A|MTNR1B
glipizide	ABCC8
clonazepam	GABRA1
promethazine	HRH1
dihydrotachysterol	VDR
fludarabine	RRM1|POLA1|DCK
perhexiline	CPT1A|CPT2
diphenhydramine	HRH1
atorvastatin	HMGCR
deslanoside	ATP1A1
tegaserod	HTR4
vigabatrin	GABBR1|ABAT
diphenoxylate	OPRM1
orlistat	PNLIP|LIPF|FASN
emedastine	HRH1
pilocarpine	CHRM3|CHRM1|CHRM2
benzocaine	SCN10A
iloprost	PTGIR|PTGER1
deserpidine	SLC18A2
pentolinium	CHRNA10|CHRNA3|CHRNB4
butenafine	SQLE
ouabain	ATP1A1
fluvastatin	HMGCR
leflunomide	DHODH
rosuvastatin	HMGCR
pimozide	DRD2|DRD3|KCNH2
capecitabine	TYMS
arbutamine	ADRB1
sertraline	SLC6A4
sibutramine	SLC6A2|SLC6A4|SLC6A3
levocabastine	HRH1|NTSR2
methyprylon	GABRA1|GABRA1
trilostane	HSD3B1|HSD3B2|ESR1|ESR2
papaverine	PDE4B
chlorphenamine	HRH1
nifedipine	CACNA1C|CACNA2D1|CACNB2|CACNA1D|CACNA1S
trimethaphan	CHRNA10
amiodarone	KCNH2|ADRB1|CACNA2D2
diazoxide	KCNJ11|CA1|CA2
gliclazide	ABCC8
phenacemide	SCN1A
ambenonium	ACHE
tolbutamide	ABCC8
anisindione	GGCX
dutasteride	SRD5A2|SRD5A1
bicalutamide	AR
rabeprazole	ATP4A
prednicarbate	NR3C1
proguanil	DHFR
pioglitazone	PPARG
doxacurium	CHRNA2
carvedilol	ADRB1|ADRA1A
levofloxacin	TOP2A
sulfinpyrazone	ABCC2|ABCC1|SLC22A12
doxepin	HRH1|HRH2|SLC6A2|SLC6A4|HTR2A|HTR2B|HTR2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR1A
amifostine	ALPPL2
diclofenamide	CA2|CA1|CA4|CA7
diphenylpyraline	HRH1
flavoxate	CHRM2|CHRM1
nefazodone	HTR2A|HTR2C|SLC6A4|HTR1A|SLC6A2
desipramine	SLC6A2|SLC6A4|HTR2A
thiamylal	GABRA1|KCNJ8|KCNJ11
bupropion	SLC6A3|SLC6A2
trimetrexate	DHFR
bretylium	ATP1A1
halothane	KCNK3|KCNK9|GABRA1
dinoprost tromethamine	PTGFR
chloroprocaine	SCN10A
terazosin	ADRA1A|ADRA1B|ADRA1D
cilostazol	PDE3A
itraconazole	CYP51A1
procarbazine	MAOA
arsenic trioxide	IKBKB|TXNRD1|JUN|CCND1|MAPK3|MAPK1
guanethidine	SLC6A2
moclobemide	MAOA
orphenadrine	GRIN2D|GRIN1|GRIN3B|GRIN3A|HRH1|SLC6A2
phenobarbital	GABRA1
escitalopram	SLC6A4
cyclizine	HRH1
idarubicin	TOP2A
chlormezanone	TSPO
podofilox	TOP2A|TUBA4A|TUBB
rescinnamine	ACE
propafenone	SCN5A|KCNH2
naloxone	OPRM1|OPRD1|OPRK1
domperidone	DRD2|DRD3
fluoxymesterone	AR|ESR1|PRLR
pergolide	DRD2|DRD3
ciclopirox	ATP1A1
desflurane	GABRA1|GLRA1|GRIA1|KCNA1|ATP2C1
dexfenfluramine	SLC6A4
oxymorphone	OPRM1
